'PriemData','pData','Laikas','Pradzia','Pabaiga','Organizacija','avAprasymas','avPranesta','IskvietimoVieta','Darbai','Medziagos','SumaSuPVM'
2016-11-30,'16.11.30','08:40','09:00','09:30','Vieðoji ástaiga Lazdynø baseinas, 0','Prateka karðto vandens vamzdis',,'Erfurto 13','2.3. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos ávertinimas. Prarûdijusios arba trukusios vamzdþio vietos suradimas, daþø ir rûdþiø nuvalymas. Guminës tarpinës uþdëjimas. Spaustuvo D100  árengimas bendram karðto vandens vamzdþiui tualete uþverþiant  varþtais. Taisomos vietos sandarumo patikrinimas.','Metalo apkaba d-100 1 vnt',25.5068
2016-11-30,'16.11.30','09:00','09:10','11:00','UAB "Namø ûkis", 65-102','Nuotëkos uþlieja patalpas',,'Savanoriø 56 (1,2 ir3 korp.)','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas atsukant varþtus ir ávadinio ðulinio dangèio atidarymas. Bendro  vamzdþio valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m. ið pravalos iki ðulinio ir tarp ðuliniø. Pravalos dangèio uþdëjimas, ðulinio dangèio uþdarymas. Nuotekø nutekëjimo patikrinimas vandens srove.  Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m. tualete.  Nuotekø nutekëjimo patikrinimas vandens srove. Uþpiltas tualeto, kambario, darbo kambario grindis, stovinèià ant grindø aparaturà.','',64.9649
2016-11-30,'16.11.30','09:05','09:20','10:40','796-oji DNSB, _','Uþsikimðo bendra kanalizacija',,'Kareiviø 9','1.4. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra.  Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis < 10 m. tualete. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove.         ','',38.2602
2016-11-30,'16.11.30','10:05','10:20','11:10','','Uþsikimðo kanalizacija',,'Panevëþio 15','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',40.329299999999994
2016-11-30,'16.11.30','12:00','12:20','13:00','UAB "Senamiesèio ûkis " (Tel. 2611695, 2627890), _','Teka prie klozeto',,'Rûdninkø 12','2.18. Avarinio ekipaþo atvykimas pagal iðkvietimà. Lanksèios þarnelës apþiûra ir gedimo nustatymas. Vandens tiekimo tualeto bakeliui uþdarymas. Senos þarnelës nuëmimas. Pajungimo sriegiø iðvalymas . Naujos þarnelës parinkimas pagal ilgá, tarpiniø pakeitimas, þarnelës prijungimas prie bakelio uþdaromosios armatûros. Vandens padavimo atnaujinimas ir  sandarumo patikrinimas.','Þarna santechn. 1 vnt; Sujungimas  1/2 1 vnt',27.2008
2016-11-30,'16.11.30','14:50','15:05','16:10','','Uþsikimðo kanalizacija',,'Subaèiaus 6A','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',40.329299999999994
2016-11-30,'16.11.30','15:15','15:40','16:40','UAB "Euro Asista", 663/13','Uþsikimðo kanalizacija',,'Senasis Ukmergës kelias 4 visà miestà','1.3. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Pravalos dangèio nuëmimas. Bendro stovo  vamzdþiø valymas, kai skersmuo iki 150 mm, ilgis daugiau kaip10m su gyvatuku.  Pravalos dangèio uþdëjimas ir nuotekø nutekëjimo patikrinimas vandens srove.','',33.1661
2016-11-30,'16.11.30','16:30','17:30','18:00','UAB "Senamiesèio ûkis " (Tel. 2611695, 2627890)','Nëra elektros butuose',,'Auðros vartø 16B','4.1. Avarinio ekipaþo atvykimas pagal iðkvietimà.  Srovës ir átampos parametrø matavimas atskiruose fazëse bei kontaktø patikrinimas. Elektros atjungimo prieþasties nustatymas. Automato ájungimas ir elektros tiekimo atnaujinimas bendrame tinkle elektros skyde arkoje. ','',19.4931
2016-11-30,'16.11.30','16:40','16:55','17:20','UAB "Namø ûkis", 65-102','Nëra ðalto vandens butuose',,'Savanoriø 56 (1,2 ir3 korp.)','2.1. Avarinio ekipaþo atvykimas pagal iðkvietimà. Situacijos ávertinimas. Ðalto vandens tiekimo pajungimas 19-am butui atidarant ventilá bute. 13-ame bute durø neatidaro. Paraiðka nebuvo atðaukta, kvietusysis ið 19-to buto nepasiraðë.','',18.8155
2016-11-30,'16.11.30','17:00','17:20','18:00','UAB "Senamiesèio ûkis " (Tel. 2611695, 2627890), _','Teka vanduo rûsyje',,'Vilniaus 12','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos patikrinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad pragræþtas termofikacinis vamzdys rûsyje, nëra rakto, laikinai uþsandarintas. Ðilumininkas informuotas.','',15.6937
2016-11-30,'16.11.30','17:15','17:30','18:30','205-oji DNSB "Ozas", _','Uþsikimðo kanalizacija 1-ame aukðte',,'Dûkðtø 26','1.4. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis < 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove','',38.2602
2016-11-30,'16.11.30','17:50','18:15','19:35','UAB ,,Yglë pastatø valdymas" kvieèia tik atsak.asm.','Uþsikimðo kanalizacija',,'Savanoriø 31','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',40.317200000000006
2016-11-30,'16.11.30','18:10','18:20','19:10','445-oji DNSB, _','Uþsikimðo kanalizacija',,'Apkasø 3','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',40.317200000000006
2016-11-30,'16.11.30','18:25','18:40','19:25','418-oji DNSB, _','Uþsikimðo kanalizacija',,'Mokyklos 5','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',40.317200000000006
2016-11-30,'16.11.30','18:40','19:40','20:20','UAB "Ðilëja " (Tel. 2466644), _','Teka radiatorius',,'Ukmergës 214','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos patikrinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad prakiuræs ir neþimiai laða skardinis radiatorius virtuvëje, reikalingas keitimas arba virinimas. Dël vëlaus laiko atidëta rytdienai, sumaþinome slegi ðilumos mazge.','',15.6937
