'PriemData','pData','Laikas','Pradzia','Pabaiga','Organizacija','avAprasymas','avPranesta','IskvietimoVieta','Darbai','Medziagos','SumaSuPVM'
2017-09-18,'17.09.18','19:00','20:00','21:45','DNSB Gerosios Vilties g. 18, _','Teka ventilis','Praneðta "Vilniaus energija"','Gerosios vilties 18','2.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Sistemos apþiûra ir gedimø nustatymas. Vandens tiekimo iðjungimas uþdarant ventilá. Vandens iðleidimas ið vamzdþiø atidarius nuleidëjà D15. Sugedusiø ventiliø demontavimas ir sriegiø  iðvalymas bei  patikrinimas. Naujø ventiliø D15 mm montavimas, apvyniojant sriegá lino pluoðtu su hermetiku  pakeitus tarpines. Sistemos uþpildymas vandeniu ir sandarumo patikrinimas.  Plombø nuëmimas nuo karðto vandens skaitiklio. Karðtas vanduo - skaitiklio Nr.1109505117; parodymai-772 m3; plombos Nr.0504694.   Praneðta "Vilniaus energija" - 21:55 val.','Ventilis vand.1/2 1 vnt',32.8394
2017-09-18,'17.09.18','23:25','23:40','23:55','UAB "SERVICO"  Prieð vaþiav.praneðti atsakimgiems asmenims telefonu, _','Nëra elektros bute',,'Mokyklos 86','4.1. Avarinio ekipaþo atvykimas pagal iðkvietimà.  Srovës ir átampos parametrø matavimas atskiruose fazëse bei kontaktø patikrinimas. Elektros atjungimo prieþasties nustatymas. Automato ájungimas ir elektros tiekimo atnaujinimas vidaus tinkle elektros skyde. ','',23.3893
2017-09-18,'17.09.18','07:00','07:50','08:10','Nëra sutarties','Nëra elektros',,'Juodvarniø 25','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos patikrinimas ir avarijos pobûdþio nustatymas. Srovës  ir átampos parametrø matavimas atskiruose fazëse bei kontaktø patikrinimas. Nustatyta, kad nebuvo 2 fazes ið E.T. Dirba ESO','',15.6937
2017-09-18,'17.09.18','07:45','08:15','09:10','154-oji DNSB, 652/13','Uþsikimðo kanalizacija 1-ame aukðte',,'Ðilo 27','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo d50 mm., ilgis daugiau kaip 10 m. rûsyje. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',40.317200000000006
2017-09-18,'17.09.18','08:15','09:10','09:30','Nëra sutarties, 17/MA-150','Uþsikimðo kanalizacija','','Auðros vartø 3','1.1. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas.  Vamzdþiø valymas kai skersmuo iki 100 mm, su pompa.  Nuotekø nutekëjimo patikrinimas vandens srove.','',27.2976
2017-09-18,'17.09.18','09:20','09:45','10:30','526-oji DNSB (Kvieèia tik pirmininkë Rûta Sadaunykienë tel.  ), 439/15','Uþsiakimðo kanalizacija',,'Þirmûnø 102','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 100 mm., ilgis daugiau kaip 10 m. rûsyje. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',40.317200000000006
2017-09-18,'17.09.18','09:25','09:40','10:50','Nëra sutarties','Uþsikimðo kanalizacija',,'Vilniaus 39','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 100 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',40.329299999999994
2017-09-18,'17.09.18','09:40','10:10','11:10','Nëra sutarties, 17/MA-150','Uþsikimðo kanalizacija',,'Ðv.Ignoto 16','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 100 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',40.329299999999994
2017-09-18,'17.09.18','10:30','11:20','11:40','404-oji DNSB ','Nëra elektros',,'Þëruèio 13','4.2. Avarinio ekipaþo atvykimas pagal iðkvietimà. Elektros instaliacijos ir plombø apþiûra. Srovës  ir átampos parametrø matavimas atskiruose fazëse bei kontaktø patikrinimas. Gedimo pobûdþio ir vietos nustatymas. Kontaktø remontas ir elektros tiekimo atnaujinimas bendrame tinkle laiptinës elektros skyde 5 aukðte.','',23.752299999999997
2017-09-18,'17.09.18','10:35','10:50','11:30','DNSB Bitininkø g. 4C','Uþsikimðo kanalizacija',,'Bitininkø 4c','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 100 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',40.317200000000006
2017-09-18,'17.09.18','11:10','11:50','12:30','Nëra sutarties, 17/MA-150','Uþsikimðo kanalizacija',,'Didþioji 11','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo d50 mm., ilgis daugiau kaip 10 m.iðardþius sifonà. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',40.329299999999994
2017-09-18,'17.09.18','11:35','14:10','14:40','IÁ Devilmora','Uþsikimðo alsuoklis',,'Þirmûnø 51','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos ávertinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad alsuoklá pravalyti negalime, nëra priejimo prie stovo.','',15.6937
2017-09-18,'17.09.18','13:00','14:10','14:40','950-oji DNSB, _','Teka prie bakelio',,'Þirmûnø 83','2.18. Avarinio ekipaþo atvykimas pagal iðkvietimà. Lanksèios þarnelës apþiûra ir gedimo nustatymas. Vandens tiekimo tualeto bakeliui (kriauklei, praustuvui) uþdarymas. Senos þarnelës nuëmimas. Pajungimo sriegiø iðvalymas . Naujos þarnelës parinkimas pagal ilgá, tarpiniø pakeitimas, þarnelës prijungimas prie bakelio (kriauklës, praustuvo) uþdaromosios armatûros. Vandens padavimo atnaujinimas ir  sandarumo patikrinimas.','Þarna santechn. 1 vnt',26.5716
