'PriemData','pData','Laikas','Pradzia','Pabaiga','Organizacija','avAprasymas','avPranesta','IskvietimoVieta','Darbai','Medziagos','SumaSuPVM'
2016-09-15,'16.09.15','05:50','06:00','06:35','421-oji DNSB, 654/13','Uþsikimðo kanalizacija',,'Baltupio 49','1.4. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis < 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove.         ','',38.2602
2016-09-15,'16.09.15','08:05','08:40','10:10','UAB "Senamiesèio ûkis " (Tel. 2611695, 2627890), _','Uþsikimðo kanalizacija',,'Kriviø 41','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',40.317200000000006
2016-09-15,'16.09.15','08:30','08:50','09:20','Nëra sutarties','Uþsikimðo kanalizacija',,'Verkiø 35','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Ðulinio dangèio nuëmimas ir uþdëjimas. Avarinës situacijos ávertinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad pilni nuotëkø ðuliniai gatvëje. Praneðimas UAB "Vilniaus vandenys" 09:10 val.','',15.6937
2016-09-15,'16.09.15','10:15','10:25','11:00','UAB ,,Dzûkija", 776/15','Uþsikimðo kanalizacija',,'Eiðiðkiø pl. 25','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',40.317200000000006
2016-09-15,'16.09.15','12:05','12:20','13:20','Nëra sutarties','Uþsikimðo kanalizacija',,'Architektø 27','1.9. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos ávertinimas. Ðuliniø dangèiø nuëmimas. Nuotekos tinklø tarp ðuliniø valymas elektrine freza, kai vamzdþio skersmuo iki 150 mm., ilgis iki 20m.. Ðuliniø dangèiø uþdëjimas ir nuotekø nutekëjimo patikrinimas vandens srove.','',48.3758
2016-09-15,'16.09.15','12:35','13:00','13:40','542-oji DNSB, _','Uþsikimðo kanalizacija',,'Parko 69','1.1. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra  ir patikrinimas. Sifono po plautuve iðardymas ir iðvalymas. Buto vamzdþiø valymas kai skersmuo iki 100 mm, ilgis iki 5 m su gyvatuku.  Sifono surinkimas  ir nuotekø nutekëjimo patikrinimas vandens srove.','',27.2976
2016-09-15,'16.09.15','14:30','14:35','15:15','DNSB Druskio g. 6, 736/14','Uþsikimðo kanalizacija',,'Druskio V. 6','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',40.317200000000006
2016-09-15,'16.09.15','15:25','15:40','17:00','DNSB Kalvarijø g. 286 ir 286A, , 497/14','Nëra elektros buto dalyje',,'Kalvarijø 286','4.2. Avarinio ekipaþo atvykimas pagal iðkvietimà. Elektros instaliacijos ir plombø apþiûra. Srovës  ir átampos parametrø matavimas atskiruose fazëse bei kontaktø patikrinimas. Gedimo pobûdþio ir vietos nustatymas. Kontaktø remontas ir elektros tiekimo atnaujinimas vidaus tinkle virtuvës sienoje.','',23.752299999999997
2016-09-15,'16.09.15','15:45','16:00','16:30','DNSB Grigiðkës Kovo 11-osios g. 49, _','Liejamas butas ið virðaus',,'Kovo-11os Grigiðkës 49','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos patikrinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad 10-ame bute ðlapios tualeto lubos ir sienos. Virðutiniame 13-ame bute nëra priëjimo apþiûrai -vonia apmûryta  ir apklijuota plytelëmis. Laikinai nesinaudos.','',15.6937
2016-09-15,'16.09.15','16:20','16:40','17:20','121-oji Daugiabuèiø namø savininkø bendrija, _','Uþsikimðo kanalizacija',,'Architektø 184','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Pravalos dangèio nuëmimas. Bendro stovo vamzdþiø valymas elektrine freza, kai skersmuo iki 150 mm., ilgis daugiau kaip 10 m.. Pravalos dangèio uþdëjimas. Nuotekø nutekëjimo patikrinimas vandens srove. ','',40.317200000000006
2016-09-15,'16.09.15','17:00','17:20','17:55','UAB "Ðilëja " (Tel. 2466644), _','Neatsidaro lauko durys',,'Gelvonø 5','4.1. Avarinio ekipaþo atvykimas pagal iðkvietimà. Srovës ir átampos parametrø matavimas  bei kontaktø patikrinimas. Avarijos prieþasties nustatymas. Domofono atjungimas elektros skyde 1-ame aukðte. Reikalingas remontas.','',19.4931
