'PriemData','pData','Laikas','Pradzia','Pabaiga','Organizacija','avAprasymas','avPranesta','IskvietimoVieta','Darbai','Medziagos','SumaSuPVM'
2017-04-20,'17.04.20','07:30','07:50','08:25','499-oji DNSB','Kyla nuotekos klozete. Uþsikimðæs bendras  nuotekø vamzdis.',,'Þygio 3','1.3. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Ávadinio ðulinio dangèio atidarymas. Nuotekos tinklø  valymas su gyvatuku, kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m. ið ðulinio iki pastato  .  Ðulinio dangèio uþdarymas. Fekalijø nutekëjimo patikrinimas vandens srove.','',33.1661
2017-04-20,'17.04.20','07:40','08:00','08:55','Nëra sutarties','Kyla nuotekos klozete. Uþsikimðæs bendras  nuotekø vamzdis',,'Kirtimø 63','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra.  Pravalos dangèio nuëmimas atsukant varþtus stovui rûsyje.  Nuotekos tinklø bendro vamzdþio  valymas su elektrine  freza kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m.  Pravalos dangèio uþdëjimas ir fekalijø nutekëjimo patikrinimas vandens srove.','',40.329299999999994
2017-04-20,'17.04.20','09:15','09:45','10:15','Nëra sutarties','Kyla nuotekos duðinëje. Uþsikimðæs   nuotekø vamzdis iki stovo.',,'Þygio 3','1.1. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Nuotekos tinklø  vamzdþio valymas su rankine pompa , kai vamzdþio skersmuo iki 50 mm.  per duðinæ vonios patalpoje .  Fekalijø nutekëjimo patikrinimas vandens srove.','',32.742599999999994
2017-04-20,'17.04.20','10:15','10:30','11:40','383-oji DNSB  "Sudervëlë", _','Uþvirinti vamzdá ðil. mazge',,'Kavoliuko A.P. 9','3.17. Avarinio ekipaþo atvykimas pagal iðkvietimà. Karðto vandens sistemos  vamzdþiø apþiûra ir gedimø nustatymas. Trûkusiø arba prarûdijusiø vamzdþiø iki 0,3 m.  ilgio demontavimas. Naujo karðto vandens  vamzdþio D 32 ir ilgis 0,3 m.  atkarpos pakeitimas su suvirinimu ðil. mazge rûsyje.  Karðto vandens ájungimas ir suvirinimo siûliø sandarumo patikrinimas.','Vamzdþiai vand-duj. 32*3.0+ pjovim. .30 m',79.7147999999999881
2017-04-20,'17.04.20','10:50','11:00','11:25','74-oji DNSB, 651/13','Nenuteka nuotekos  rûsyje.  Uþsikimðæs bendras nuotekø  vamzdis  rûsyje',,'Laisvës  pr. 44','1.3. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Bendro nuotekos tinklø  vamzdþio valymas su gyvatuku, kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m. ið pravalos rûsio  grindyse.  Fekalijø nutekëjimo patikrinimas vandens srove.','',33.1661
2017-04-20,'17.04.20','11:00','11:45','12:30','Nëra sutarties','Kyla nuotekos klozete. Uþsikimðæs bendras  nuotekø vamzdis.',,'Gedimino pr. 5','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Ðulinio dangèio nuëmimas ir uþdëjimas. Avarinës situacijos ávertinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad nuotekø pravalyti negalime, raikalingas nuotekos tinklø ðulinio iðsiurbimas ir praplovimas.','',18.827600000000003
2017-04-20,'17.04.20','12:55','13:10','13:55','Nëra sutarties','Kyla  nuotekos  virtuvëje. Uþsikimðæs bendras virtuvinis nuotekø vamzdis',,'Laisvës  pr. 125','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra . Sifono po plautuve virtuvës patalpoje iðardymas ir iðvalymas. Nuotekos tinklø bendro virtuvinio vamzdþio  valymas su elektrine freza kai vamzdþio skersmuo iki 50 mm., ilgis daugiau kaip 10  m. Sifono surinkimas ir fekalijø nutekëjimo patikrinimas vandens srove.','',48.3879
2017-04-20,'17.04.20','13:05','13:20','14:10','Nëra sutarties',' Nenuteka nuotekos  rûsyje.  ',,'Metalo 29','1.1. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Ávadinio ðulinio dangèio atidarymas. Kanalizacijos tarp ðuliniø pravalyti negalëjome nes gyvatukas temiasi á kietà daiktà. Kito ðulinio ið kurio galima valyti neradome.  Ðuliniø dangèiø uþdarymas. ','',32.742599999999994
2017-04-20,'17.04.20','13:30','13:50','14:05','Nëra sutarties, 798/15','Nenuteka nuotekos klozete ir duðinëje. ',,'Goðtauto 4','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà.  Avarinës situacijos ávertinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad atvykimo metu patikrinus nuotekos klozete ir duðinëje nuteka normaliai. Dël profilaktinio vamzdyno iðvalymo iðkvietëjai nesutiko.','',15.6937
2017-04-20,'17.04.20','14:55','15:10','15:20','74-oji DNSB, 651/13','Nenuteka nuotekos rûsyje',,'Laisvës  pr. 44','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà.  Avarinës situacijos ávertinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad atvykimo metu nuotekos rûsyje nuteka normaliai, reikalingas rûsio grindø nuo  fekalijø valymas. Dalyvavo pirmininkas. ','',15.6937
2017-04-20,'17.04.20','17:00','17:25','18:25','535-oji DNSB "Saulëtekis", _','Kyla nuotekos klozete. Uþsikimðæs bendras  nuotekø stovas.',,'Þirmûnø 54','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra.  Pravalos dangèio nuëmimas atsukant varþtus stovui rûsyje.  Nuotekos tinklø bendro vamzdþio  valymas su elektrine  freza kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m.  Pravalos dangèio uþdëjimas ir fekalijø nutekëjimo patikrinimas vandens srove.','',40.329299999999994
