'PriemData','pData','Laikas','Pradzia','Pabaiga','Organizacija','avAprasymas','avPranesta','IskvietimoVieta','Darbai','Medziagos','SumaSuPVM'
2017-02-23,'17.02.23','07:30','08:00','09:15','939-oji DNSB "Paðilaièiai", _','Pakeisti ðalto vandens ventilá bute','Praneðta UAB "Vilniaus vandenys"  Gintarui  09 val. 20 min.','Paðilaièiø 15','2.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Sistemos apþiûra ir gedimø nustatymas. Ðalto vandens tiekimo iðjungimas stovui  uþdarant ventilá rûsyje. Vandens iðleidimas ið vamzdþiø atidarius nuleidëjà. Trûkusio ventilio demontavimas ir sriegiø  iðvalymas bei  patikrinimas. Naujo ðalto vandens ventilio  iki 15 mm montavimas, apvyniojant sriegá lino pluoðtu su hermetiku tualeto patalpoje. Sistemos uþdildymas vandeniu ir sandarumo patikrinimas.  Nuimta plomba nuo ðalto vandens skaitiklio. Sk. Nr. 56600706  Pl. Nr. 259476  Rodm. 00088. Perduota UAB "Vilniaus vandenys"  tel. 2664371. Suderinta su pirm. pav. Mataèiûnu, kad uþ atliktus darbus iðstatyti bendrijai.','Ventilis 1/2 1 vnt',31.8109
2017-02-23,'17.02.23','09:10','09:25','09:50','Nëra sutarties','Svyla rozetë grupëje',,'Sausio 13-tosios 6','4.2. Avarinio ekipaþo atvykimas pagal iðkvietimà. Elektros instaliacijos ir plombø apþiûra.  Srovës  ir átampos parametrø matavimas atskiruose fazëse bei kontaktø patikrinimas. Gedimo pobûdþio ir vietos nustatymas. Kontaktø remontas vidaus tinkle 2-tro aukðto grupëje.','',28.5076
2017-02-23,'17.02.23','10:00','10:50','11:15','Nëra sutarties','Teka vanduo ið vamzdþio rûsyje',,'Brastos 48','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos patikrinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad trûkæs ðalto vandens vamzdis sienoje po plytelëmis vonios patalpos rûsyje. Reikalingi paruoðimo darbai, sienos ardymas. Atvykimo metu vanduo buvo jau uþdarytas.','',15.6937
2017-02-23,'17.02.23','10:20','10:35','10:55','421-oji DNSB, 654/13','Teka vanduo ið virðaus',,'Baltupio 49','2.1Avarinio ekipaþo atvykimas pagal iðkvietimà. Situacijos ávertinimas. Ðalto vandens tiekimo iðjungimas virðutiniam 84-am butui  uþdarant ventilá virtuvëje. Reikalingas minëtame 84-me bute ðalto vandens trûkusio grubaus valymo filtro korpuso keitimas virtuvëje. Uþpiltos 76-to buto virtuvës, koridoriaus ir svetainës lubos bei sienos.  Gyv. neturëjo pinigø susimokëti.','',18.8155
2017-02-23,'17.02.23','10:20','10:40','11:10','UAB "Senamiesèio ûkis " (Tel. 2611695, 2627890), _','Teka vanduo ið vamzdþio bute',,'Pilies 42','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos patikrinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad reikalingas trûkusio maiðytuvo keitimas virtuvës patalpoje. Atvykimo metu vanduo buvo jau uþdarytas.','',15.6937
2017-02-23,'17.02.23','10:35','11:05','11:50','UAB ,,Yglë pastatø valdymas" kvieèia tik atsak.asm.','Kyla  nuotekos  virtuvëje ir moterø tualete',,'Þirmûnø 64','1.4. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra . Sifono po plautuve virtuvës patalpoje iðardymas ir iðvalymas. Nuotekos tinklø  virtuvinio vamzdþio  valymas su elektrine freza iki stovo kai vamzdþio skersmuo iki 50 mm., ilgis iki 5  m. Sifono surinkimas ir fekalijø nutekëjimo patikrinimas vandens srove.,2.17. Avarinio ekipaþo atvykimas pagal iðkvietimà. Sifono ir nuotekos tinklø  apþiûra . Sifono demontavimas ir iðvalymas po praustuvu moterø tualete.  Sandarinimo ir konusiniø tarpiniø sustatymas jas sutepant hermetiku. Pagal kryptá ir nuolydþius  sifono montavimas. Vandens nutekëjimo bei spaudimo patikrinimas. ','',71.9345
2017-02-23,'17.02.23','11:10','11:30','13:05','Nëra sutarties','Kyla nuotekos klozete. Uþsikimðæs bendras  nuotekø vamzdis.',,'Kirtimø 49','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Ávadinio ðulinio dangèio atidarymas. Nuotekos tinklø  valymas elektrine freza, kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m. ið ðulinio iki pastato  .  Ðulinio dangèio uþdarymas. Fekalijø nutekëjimo patikrinimas vandens srove.','',82.2558000000000119
2017-02-23,'17.02.23','11:15','11:40','12:25','Lopðelis- darþelis ,,Coliukë", 810/15','Kyla nuotekos klozete. Uþsikimðæs bendras  nuotekø stovas.',,'Kojelavièiaus A.V. 298','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra.  Pravalos dangèio nuëmimas  stovui 1-mo aukðto grupës tualeto patalpoje.  Nuotekos tinklø bendro vamzdþio  valymas su elektrine  freza kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m.  Pravalos dangèio uþdëjimas ir fekalijø nutekëjimo patikrinimas vandens srove.','',48.3879
2017-02-23,'17.02.23','11:25','12:00','13:00','Nëra sutarties','Kyla  nuotekos  virtuvëje. Uþsikimðæs bendras virtuvinis nuotekø stovas',,'Pamënkalnio 34b','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra . Sifono po plautuve virtuvës patalpoje iðardymas ir iðvalymas. Nuotekos tinklø bendro virtuvinio stovo  valymas su elektrine freza kai vamzdþio skersmuo iki 50 mm., ilgis daugiau kaip 10  m. Sifono surinkimas ir fekalijø nutekëjimo patikrinimas vandens srove.','',40.329299999999994
2017-02-23,'17.02.23','13:35','13:50','14:55','194-oji DNSB "Ðeðkinë", _',' Nenuteka nuotekos  rûsyje.  Uþsikimðæs bendras nuotekø  vamzdis  rûsyje','','Èiobiðkio 6','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Bendro nuotekos tinklø  vamzdþio valymas su elektrine freza, kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m. ið trapo ðil. mazge rûsio  grindyse  ir .  nuotekos tinklø bendro vamzdþio  valymas su elektrine  freza nuëmus pravalos dangtá   stovui rûsyje  kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m.   Fekalijø nutekëjimo patikrinimas vandens srove. Dalyvavo atsakingas asmuo.','',48.3879
2017-02-23,'17.02.23','13:50','14:50','16:25','Nëra sutarties','Kyla nuotekos klozete. Uþsikimðæs bendras  nuotekø stovas.',,'Ðvarioji 34','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Ðulinio dangèio nuëmimas ir uþdëjimas. Avarinës situacijos ávertinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad  valant nuotekos tinklø vamzdá ið ðulinio su gyvatuku pravalyti negalime gyvatukas remiasi á kietà daiktà. Pastate nëra priëjimo prie pravalos.','',15.6937
2017-02-23,'17.02.23','16:25','16:45','17:40','Nëra sutarties','Kyla nuotekos klozete. Uþsikimðæs bendras  nuotekø stovas.',,'Filaretø 85','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra.  Pravalos dangèio nuëmimas atsukant varþtus stovui rûsyje.  Nuotekos tinklø bendro stovo  valymas su elektrine  freza kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m.  Pravalos dangèio uþdëjimas ir fekalijø nutekëjimo patikrinimas vandens srove.','',40.329299999999994
2017-02-23,'17.02.23','16:35','17:40','18:45','Nëra sutarties','Teka vanduo rûsyje',,'Kalvarijø 70','1.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Ðulinio dangèio nuëmimas ir uþdëjimas. Avarinës situacijos ávertinimas ir avarijos pobûdþio nustatymas. Nustatyta, kad pilnas vietinis nuotekø ðulinys, reikalingas asenizavimas ir trûkæs tualeto bakelis bute, reikalingas keitimas.','',15.6937
