'PriemData','pData','Laikas','Pradzia','Pabaiga','Organizacija','avAprasymas','avPranesta','IskvietimoVieta','Darbai','Medziagos','SumaSuPVM'
2018-04-23,'18.04.23','20:25','20:40','21:25','UAB "Ðilëja " (Tel. 2466644), _','Kyla  nuotekos  virtuvëje. Uþsikimðæs bendras virtuvinis nuotekø stovas',,'Èiobiðkio 11','1.3. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra . Nuotekø  tinklø bendro virtuvinio stovo  valymas  su gyvatuku tarp 7-too ir 6-to aukðtø kai vamzdþio skersmuo iki 100 mm., ilgis daugiau 10 m. ið pravalos ant stogo.   Fekalijø nutekëjimo patikrinimas vandens srove.','',33.1661
2018-04-23,'18.04.23','21:10','21:15','21:45','489-oji DNSB  darbo dienomis nevaþiuoti nuo 8 val. iki 13 val. , _','Pakeisti ventilá bute.',,'Þemynos 9','2.10. Avarinio ekipaþo atvykimas pagal iðkvietimà. Sistemos apþiûra ir gedimø nustatymas.  Trûkusio ventilio demontavimas ir sriegiø  iðvalymas bei  patikrinimas. Naujo ðalto vandens ventilio  iki 15 mm montavimas, apvyniojant sriegá lino pluoðtu su hermetiku virtuvës patalpoje. Sistemos uþdildymas vandeniu ir sandarumo patikrinimas.','Ventilis 1/2 1 vnt',28.7859
2018-04-23,'18.04.23','08:40','08:55','09:50','723-oji DNSB , _','Kyla  nuotekos  virtuvëse. Uþsikimðæs bendri virtuviniai nuotekø stovai',,'Kapsø 19','1.4.  Nuotekø tinklo apþiûra . Pravalos dangèio nuëmimas atsukant varþtus stovui garaþe.  Nuotekos tinklø bendro virtuvinio stovo valymas su elektrine freza   kai vamzdþio  skersmuo iki 50 mm., ilgis iki  10 m.  Pravalos dangèio uþdëjimas ir fekalijø nutekëjimo patikrinimas vandens srove. Dalyvavo pirmininkas.,1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra . Pravalos dangèio nuëmimas  stovui rûsyje.  Nuotekos tinklø bendro virtuvinio stovo valymas su elektrine freza   kai vamzdþio  skersmuo iki 100 mm., ilgis daugiau kaip 10 m.  Pravalos dangèio uþdëjimas ir fekalijø nutekëjimo patikrinimas vandens srove.','',73.4954000000000119
2018-04-23,'18.04.23','09:00','09:10','09:35','121-oji Daugiabuèiø namø savininkø bendrija  , _',' Nenuteka nuotekos  rûsyje.  Uþsikimðæs bendras nuotekø  vamzdis  rûsyje',,'Architektø 184','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Bendro nuotekos tinklø  vamzdþio valymas su elektrine freza, kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m. ið pravalos vamzdyje ðil. mazge rûsyje.  Fekalijø nutekëjimo patikrinimas vandens srove. Dalyvavo pirmininkas.','',40.329299999999994
2018-04-23,'18.04.23','10:15','10:35','11:15','753-oji DNSB   (tik nuotekø valymas), _','Kyla  nuotekos  virtuvëje. Uþsikimðæs bendras virtuvinis nuotekø stovas',,'Gerovës 57','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra . Pravalos dangèio nuëmimas atsukant varþtus stovui rûsyje.  Nuotekos tinklø bendro virtuvinio stovo valymas su elektrine freza   kai vamzdþio  skersmuo iki 50 mm., ilgis daugiau kaip 10 m.  Pravalos dangèio uþdëjimas ir fekalijø nutekëjimo patikrinimas vandens srove.','',40.329299999999994
2018-04-23,'18.04.23','10:45','11:00','12:20','225-oji DNSB  "Juna", _','Kyla  nuotekos  virtuvëje. Uþsikimðæs bendras virtuvinis nuotekø stovas',,'Justiniðkiø 78','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra . Pravalos dangèio nuëmimas atsukant varþtus stovui 54 buto sandëliuke  rûsyje.  Nuotekos tinklø bendro virtuvinio stovo valymas su elektrine freza   kai vamzdþio  skersmuo iki 100 mm., ilgis daugiau kaip 10 m.  Pravalos dangèio uþdëjimas ir fekalijø nutekëjimo patikrinimas vandens srove.','',40.329299999999994
2018-04-23,'18.04.23','11:50','12:05','13:40','542-oji DNSB, _',' Nenuteka nuotekos  rûsyje.  Uþsikimðæs bendras nuotekø  vamzdis  rûsyje',,'Parko 69','1.5.  Nuotekø tinklo apþiûra. Ávadinio ðulinio dangèio atidarymas. Nuotekos tinklø  valymas elektrine freza, kai vamzdþio skersmuo iki 100 mm., ilgis daugiau kaip 10 m. ið ðulinio iki pastato  .  Ðulinio dangèio uþdarymas. Fekalijø nutekëjimo patikrinimas vandens srove. Dalyvavo pirmininkë.,1.9. Avarinio ekipaþo atvykimas pagal iðkvietimà. Avarinës situacijos ávertinimas. Ðuliniø dangèiø nuëmimas. Nuotekos tinklø tarp 1-mo ir 2-tro  ðuliniø valymas elektrine freza, kai vamzdþio skersmuo iki 150 mm., ilgis iki 20m.. Ðuliniø dangèiø uþdëjimas ir nuotekø nutekëjimo patikrinimas vandens srove. Dalyvavo pirmininkë.','',81.554
2018-04-23,'18.04.23','11:55','12:10','12:50','UAB ,,Yglë pastatø valdymas" kvieèia tik atsak.asm., 715/14','Kyla  nuotekos  virtuvëje. Uþsikimðæs bendras virtuvinis nuotekø stovas',,'Savanoriø 129','1.5. Avarinio ekipaþo atvykimas pagal iðkvietimà  Bitënø  g.  8-20.  Nuotekø tinklo apþiûra. Sifono po plautuve virtuvës patalpoje iðardymas ir iðvalymas. Nuotekos tinklø bendro virtuvinio stovo  valymas su elektrine freza kai vamzdþio skersmuo iki 50 mm., ilgis daugiau kaip 10  m. Sifono surinkimas ir fekalijø nutekëjimo patikrinimas vandens srove.','',40.329299999999994
2018-04-23,'18.04.23','12:20','12:30','13:20','Nëra sutarties','Kyla nuotekos bute. Uþsikimðæs nuotekø vamzdis iki stovo',,'Druskio V. 6','1.1. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra. Sifono po plautuve virtuvës patalpoje iðardymas ir iðvalymas.  Nuotekø  tinklø vamzdþio  valymas su gyvatuku  kai vamzdþio  skersmuo iki 50 mm., ilgis iki  5 m.  Sifono surinkimas ir fekalijø nutekëjimo patikrinimas vandens srove.','',27.2976
2018-04-23,'18.04.23','12:40','13:20','14:15','Nëra sutarties','Kyla nuotekos klozete',,'Upës 5','1.1. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra . Nuotekø  tinklø vamzdþio  valymas  su gyvatuku  kai vamzdþio skersmuo iki 100 mm., ilgis iki 5 m. ið pravalos tualeto patalpoje.   Fekalijø nutekëjimo patikrinimas vandens srove.','',32.742599999999994
2018-04-23,'18.04.23','13:05','13:30','15:00','939-oji DNSB "Paðilaièiai", _','Kyla  nuotekos  virtuvëje. Uþsikimðæs bendras virtuvinis nuotekø stovas',,'Paðilaièiø 5','1.3. Avarinio ekipaþo atvykimas pagal iðkvietimà. Nuotekø tinklo apþiûra . Pravalos dangèio nuëmimas atsukant varþtus stovui rûsyje.  Nuotekos tinklø bendro virtuvinio stovo valymas su gyvatuku   kai vamzdþio  skersmuo iki 50 mm., ilgis daugiau kaip 10 m.  Pravalos dangèio uþdëjimas ir fekalijø nutekëjimo patikrinimas vandens srove.','',33.1661
