Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.,
38,2016/02/10,18:40,Savanorių pr. 180 link miesto,(Pastebėta pravažiuojant),Važ. gatvės dalyje plastmasinės taros liekanos.,Surinktos ir išvežtos.,2016/02/10,18:50,
39,2016/02/10,19:15,Subačiaus g. link Juodasio kelio nedavažiavęs 50m iki geležinkelių pervažos.,,Gatvėje nulaužytas medis.,"Sauso medžio fragmentas patrauktas nuo važ. dalies, paliktas žal. vejoje.",2016/02/10,19:45,
40,2016/02/10,19:45,Sietyno g. 23-11,Audronė,Sudužęs termometras su gyvsidabriu.,Sudužęs termometras su gyvsidabriu paimtas ir nuvežtas utilizavimui.,2016/02/10,20:25,
41,2016/02/10,20:05,Subačiaus g. 116,(Pastebėta pravažiuojant),"Važ. gatvės dalyje prie borto numestas PC ,,MAXIMA"" metalinis vežimėlis.",Metalinis vežimėlis nustumtas prie parduotuvės.,2016/02/10,20:15,
42,2016/02/10,20:15,Saulėtekio al./Pylimėlio g. sankrž.,Ugnius BPC ,važ. gatvės dalyje iš šulinio stipriai veržiasi vanduo.,Informacija perduota.,,,
43,2016/02/10,20:30,Kaukysos g./Paplaujos g. sankrž.,,Važ. gatvės dalyje žibintų šukės.,Žibintų šukės surinktos ir išvežtos.,2016/02/10,20:45,
44,2016/02/10,20:45,Vakarinis aplinkkelis važiuojant link Oslo g.,(Pastebėta pravažiuojant),Skiriamojoje juostoje prie atitvaų rato gaubtas.,Paimtas ir išvežtas.,2016/02/10,,
45,2016/02/10,21:30,"O. Milašiaus g. link miesto priešais ,,ORLEAN"" dėg.",BPC ,Važ. dalyje bilda šulinio dangtis.,"Nurodytu adresu aptiktas pusiau praviras LN trapas. LN trapo grotelės įstatytos į korpusą, laikosi tvirtai.",2016/02/10,21:55,
46,2016/02/10,22:50,Upės g. 21 važiuojant link Vytauto g.,VPK,Važ. dalyje prie statybvietės nuverstos dvi vertikalios gairės.,Nuverstos dvi vertikalios gairės pastatytos į vietą.,2016/02/10,23:10,
47,2016/02/11,00:35,Žemaitės g. 15 važiuojant link stoties,(Pastebėta pravažiuojant),Važ. gatvės dalyje prie salelės nuverstos dvi vertikalios gairės.,Nuverstos dvi vertikalios gairės pastatytos į vietą.,2016/02/11,00:50,
48,2016/02/11,02:20,Panerių g. išvažiuojant į Tūkstantmečio g.,VPK,Važ. dalyje metalinis tinkas.,Tvoros metalinio tinko fragmentas paimtas ir išvežtas.,2016/02/11,02:40,
49,2016/02/11,05:10,Kauno g. 30 link stoties,(Pastebėta pravažiuojant),Važ. gatvės dalyje(prie pastato vykdomi statybos darbai) betoninės duženos.,Betoninės duženos surinktos ir išvežtos.,2016/02/11,05:25,
